placa,marcaModelo,corMilhar,ano,art,dataInfracao
4339-QCC,HONDA / NXR 160 BROS,VERME/3426,95/95,155,27/02
4344-NLS,FORD NEW FIESTA,AZUL/8031,19,155,12/11
4465-KEU,HONDA/C100 BIZ ES,AZUL/8040,02/02,155,20/08
4477-PQO,HONDA / CG 160 FAN,PRETA/8241,10/11,155,09/05
4521-JJQ,HONDA/ CG 125 FAN,PRETA/0196,06/07,155,17/06
4541-PQC,DAFRA/ZIG 50,VERM/3769,12/13,155,08/02
4543-KDA,VW/GOL CLI,VERM/3858,96/96,155,11/01
4554-NLH,HONDA/ CG 150 TITAN ESD,PRETA/3161,11/11,155,24/10
4578-JIT (DF),VW/ VOYAGE 1.6 G5,VERME/8236,19/19,155,13/11
4579-NFW,HONDA/C100 BIZ ES,VERM/1588,04/05,155,16/01
4597-KEO,HONDA/C100 BIZ ES,AZUL/0053,01/01,155,19/12
4612-NKI,HONDA/CG 150 TITAN KS,VERM/8939,08/08,157,23/03
4616-NFC,HONDA/NX-4 FALCON,PRETA/3518,04/04,155,12/03
4625-NKE,FORD /KA,PRETA/9993,08/09,155,05/03
4630-KED,HONDA/ CG 125 TITAN,VERDE/1806,00/01,155,19/11
4643-ONL,HONDA/BIZ 125 ES,VERME/6351,02/03,155,09/04
4657-MXF (TO),HONDA / CG 125 FAN ES,VERME/1915,01/01,171,21/12
4685-NGK,R/AMAZONIA CLASSIC,PRETA/1817,13/13,155,10/05
4764-HTC,HONDA/ CBX 250,PRETA/0069,08/08,155,20/11
4786-NFX,HONDA/CG 150 TITAN ES,VERM/8865,06/07,157,16/08
4804-NFD,YAMAHA/ YBR 125 ED,VERM,04/04,155,14/10
4806-KEJ,VW/GOL 16V PLUS,BRANC/3959,01/01,155,27/10
4810-ONC,FORD/FIESTA SD 1.6 LTIA,PRATA/2806,13/14,155,03/02
4843-NFX,HONDA/C100 BIZ ES,VERM/3720,43956,155,28/10
4845-KFC,HONDA/CG 125 TITAN,VERDE/1046,04/04,155,07/03
4859-MEF,HONDA/ BIZ 125,PRETA/1500,06/07,155,11/09
4870-JIF (CORUMBA),HONDA/CG 125 FAN KS,VERM/4285,11/11,157,01/02
4873-JJN,HONDA CG 125 TITAN,AZUL/8126,98/98,155,17/12
4879-OGU,GM/ MONTANA LS,BRANCA,12/13,157,11/11
4897-JOV,HONDA/CG 150 TITAN,PRETA/6776,04/04,155,29/11
4913-OMT,FORD/FIESTA HA 1.6L TI A,PRETA,13/14,157,17/05
4923-KES,HONDA/CG 125 TITAN ES,VERM/6199,02/02,155,28/12
4923-NFW,GM/CLASSIC SPIRIT,BEGE/4909,05/05,155,10/04
4926-KEM,HONDA/C100 BIZ ES,VERM/1569,02/02,155,04/06
4943-NLE,YAMAHA/XTZ 125 K,PRETA/4031,09/09,155,24/01
4999-NLQ,GM/S10 EXECUTIVE D 4X4,AZUL/7905,01/01,155,21/04
4A14-NRY,CHEVROLET/ CELTA LT,PRATA/2236,12/13,155,20/03
4A17-RFX,VW/ VOYAGE 1.6L MB5,PRATA/2238,20/21,155,28/06
4B05-QPK,DAF / XF 105 FTT 510A,BRANCA/5131,18/19,155,27/06
4B37-RBW,CARRETINHA R/REBOQUES MA,AZUL/2628,20/20,155,01/12
4C89-PQC,HONDA/NXR 125 BROS ES,PRETA/7781,15/16,155,16/11
4C97-BTR,VW /25390 CTC 6X2,BRANC/9049,12/13,157,14/04
4E76-SHB,HYUNDAI HB20 LIMITED,CINZA/1868,22/23,155,28/08
4F64-SDH,R/REBOQUE CFGA 751,CINZA/0082,23/23,155,29/09
4G73-SGV,VW/ VIRTUS MB,AZUL/6938,23/23,157,19/08
4I23-ONQ,HONDA CG 150 FAN,VERM/4739,14/14,155,15/07
4J17-NLJ,HONDA/CG 125 FAN KS,VERM/8283,10/10,155,11/01
4J19-NGD,I/SHINERAY XY 50 (NEROPOLIS),PRETA/6954,07/07,155,31/03
4J67-NLC,HONDA/CG 125 FAN KS,VERM/7002,09/10,155,27/01
5008-PRF,HONDA/NXR160 BROS ESDD,AZUL,19/19,155,19/12
5031-NGM,HONDA/CG 150 TITAN KS,AZUL/2499,19/19,155,19/12
