placa,descricao
1161-PQE,HONDA/CIVIC BRANCA ANO 15/16 - POSSIVELMENTE DOBRA PRATICANDO 155 EM VEICULO
9742-KDR,VW GOL ANO 99 VERMELHO POSSIVELMENTE ARMADO
9B39-PZM,RENAULT/SANDERO BRANCA 17/18 - APROPRIACAO INDEBITA
4341-HOV,GM/CORSA BRANCA 96/96 - VEICULO PARTICIPOU DA FUGA DO AUTOR DE HOMICIDIO JD ITALIA
4474-KEA,FORD/COURIER 1.6L BRANCA/0559 ANO 00/00 (ART.155 DATA:28/03)
8679-NWC,VW GOL G5 PRATA 11/12 ENVOLVIDO NO HOMICIDIO PRATICADO NO JD ITALIA
6G31-KEW,VW/GOLF PRATA 2003 - VEICULO CONDUZIDO POR UM FORAGIDO
2607-PWR,YAMAHA FAZER 150 PRETA 15/15 - INDIVIDUO PRATICOU 157
3405-JHK,FORD ECOSPORT PRATA 06/07 - PARACHOQUE PRETO - POSSIVELMENTE PORTANDO ARMA LONGA / VISTO NA JAIARA
XX44-XXX,HONDA XRE 300 VERMELHA PLACA MERCOSUL - ABORDAR E FAZER CONTATO COM CPE20
5146-KCU,VW/GOL 1000 VERM. ANO 96/96 - FAZENDO ENTREGAS DE DROGAS NA CIDADE
2037-DQW,HONDA ACCORD CINZA ANO 06/06 LEVADO APROPRIACAO INDEVITA
2747-KLQ,HONDA/BIZ 125 ES 07/08 AMRL TEVE SUA PLACA FURTADA
4432-MWL,CHEVROLET/S-10 ADVANTAGE 11/11 PRATA - LEVADA DE ESTELIONATO
8854-PQG,HONDA/BIZ 125 ES 15/15 PRATA - LEVADA DE ESTELIONATO
1538-HSU,HONDA/CG 125 FAN PRETA/8404 ANO 07/07 (ART.155 DATA:03/08)
4H86-RGD,GM/ONIX PLUZ LTZ COR PRATA ANO 20/21 - LEVADO DE APROPRIACAO INDEBITA
7C67-RMJ,GM ONIX PLUS LTZ COR CINZA ANO 21/21 LEVADO DE 171 DA LOCADORA LOCALIZA
4929-ONE,GM PRISMA COR AZUL 14/15 LEVADO DE APROPRIACAO INDEBITA
0881-PRP,FIAT/TORO COR BRANCA ANO 17/18 ORIZONA-GO ROUBO DE VEICULOS COM RESTRICAO DE LIBERDADE
3E59-JED,GM/CHEVROLET D-20 COR VERMELHA ANO 90/91 ORIZONA-GO ROUBO DE VEICULO COM RESTRICAO DE LIBERDADE
7140-JJW,FIAT/SIENA ATRACTIVE COR PRATA ANO 2012/13 - INDIVIDUO COM MANDADO DE PRISAO
1A36-OGT,KIA CERATO COR BRANCA MODELO 2012 FEZ DISPAROS DE ARMA DE FOGO NO DIA 10/12 - ABORDADO E REALIZADO O FLAGRANTE
